Countries,ExportValue,ImportValue,Year,Latitude,Longitude
"Korea, Republic of",22601.5,11592.6,2013,36.338,128.16
"Korea, Republic of",27132.2,9088.9,2018,36.338,128.16
"Korea, Republic of",15046.4,8427.2,2015,36.338,128.16
"Korea, Republic of",23083.1,8122.3,2017,36.338,128.16
"Korea, Republic of",15692.6,7703,2010,36.338,128.16
"Korea, Republic of",11636.5,6920.1,2008,36.338,128.16
"Korea, Republic of",16790.8,6674.6,2016,36.338,128.16
"Korea, Republic of",11499.3,4742.3,2009,36.338,128.16
"Korea, Republic of",6662.4,3552.8,2005,36.338,128.16
"Korea, Republic of",9675.5,3196.7,2007,36.338,128.16
"Korea, Republic of",8343.6,3071.4,2006,36.338,128.16
"Korea, Republic of",4604.7,1614.4,2004,36.338,128.16
"Korea, Republic of",3802.5,0,2003,36.338,128.16
"Korea, Republic of",2902.9,0,2002,36.338,128.16
Japan,30135.1,22767.8,2012,35.962,137.855
Japan,33714.7,19436.6,2011,35.962,137.855
Japan,27086.3,19284.3,2013,35.962,137.855
Japan,19465.6,17976.7,2018,35.962,137.855
Japan,23117.5,17007.6,2014,35.962,137.855
Japan,25781.8,16965.8,2010,35.962,137.855
Japan,17798.8,15240,2017,35.962,137.855
Japan,27743.9,15128,2008,35.962,137.855
Japan,18020.9,13263.5,2015,35.962,137.855
Japan,16098.6,12984.8,2016,35.962,137.855
Japan,18574.7,9843.7,2009,35.962,137.855
Japan,23632.8,6526.7,2007,35.962,137.855
Japan,12045.1,2798.2,2002,35.962,137.855
Japan,18049.1,2661.4,2005,35.962,137.855
Japan,15962.1,2653.9,2004,35.962,137.855
Japan,13603.5,2272.6,2003,35.962,137.855
Japan,21732.1,2206.9,2006,35.962,137.855
Italy,1920.9,1840.3,2018,44.3713,11.1084
Italy,2286.9,1722.9,2014,44.3713,11.1084
Italy,2128.6,1695.6,2013,44.3713,11.1084
Italy,1932.6,1570.3,2017,44.3713,11.1084
Italy,2277,1523.8,2012,44.3713,11.1084
Italy,1572.1,1387.2,2016,44.3713,11.1084
Italy,1872.9,1368.2,2015,44.3713,11.1084
Italy,3168.3,1222.8,2011,44.3713,11.1084
Italy,1900.7,999.3,2008,44.3713,11.1084
Italy,2370,909.7,2010,44.3713,11.1084
Italy,1651.1,726.1,2009,44.3713,11.1084
Italy,1380,667.5,2007,44.3713,11.1084
Italy,922.6,216,2004,44.3713,11.1084
Italy,1213,202.4,2006,44.3713,11.1084
Italy,719.8,196.5,2002,44.3713,11.1084
Italy,843.9,170.2,2003,44.3713,11.1084
Italy,1007.2,159.8,2005,44.3713,11.1084
Germany,2883.4,4426.3,2013,51.3819,9.9877
Germany,3075,4188.6,2012,51.3819,9.9877
Germany,2821.6,4091.2,2014,51.3819,9.9877
Germany,2708.2,3973,2018,51.3819,9.9877
Germany,2668.2,3538.1,2017,51.3819,9.9877
Germany,2664.2,3471.7,2015,51.3819,9.9877
Germany,3304.7,3393.8,2011,51.3819,9.9877
Germany,2638.7,3159.5,2016,51.3819,9.9877
Germany,2465.2,3068.8,2008,51.3819,9.9877
Germany,2984.7,3006.7,2010,51.3819,9.9877
Germany,2326.7,2373.5,2009,51.3819,9.9877
Germany,2316,1982,2007,51.3819,9.9877
Germany,2025.7,919.3,2006,51.3819,9.9877
Germany,1654.6,775.7,2004,51.3819,9.9877
Germany,1269.9,758.5,2002,51.3819,9.9877
Germany,1781.6,704.6,2005,51.3819,9.9877
Germany,1416.8,600.3,2003,51.3819,9.9877
France,1284.6,2004.6,2011,46.656,2.543
France,1128.2,1924.2,2012,46.656,2.543
France,938.5,1689.7,2008,46.656,2.543
France,1006.8,1655.3,2018,46.656,2.543
France,870.2,1633.1,2009,46.656,2.543
France,1062.7,1590.7,2013,46.656,2.543
France,975.9,1585.4,2017,46.656,2.543
France,802.9,1443.7,2007,46.656,2.543
France,872.7,1362,2016,46.656,2.543
France,1122.8,1340.5,2010,46.656,2.543
France,973,1336.9,2015,46.656,2.543
France,1019.3,1332.5,2014,46.656,2.543
France,624,336,2005,46.656,2.543
France,648.9,312,2002,46.656,2.543
France,724.4,295.5,2006,46.656,2.543
France,659.8,256.4,2004,46.656,2.543
France,652.8,203.9,2003,46.656,2.543
Finland,111.4,668.4,2014,62.716,26.192
Finland,85.1,663.3,2018,62.716,26.192
Finland,88.4,609.5,2017,62.716,26.192
Finland,84.9,534.1,2015,62.716,26.192
Finland,219,500.1,2011,62.716,26.192
Finland,197.8,448.8,2012,62.716,26.192
Finland,149.1,442.5,2013,62.716,26.192
Finland,108.4,359.7,2008,62.716,26.192
Finland,122.7,358.7,2010,62.716,26.192
Finland,83.9,338.6,2016,62.716,26.192
Finland,121.3,326.9,2007,62.716,26.192
Finland,61.2,227,2009,62.716,26.192
Finland,183.5,78,2005,62.716,26.192
Finland,148.3,75.2,2004,62.716,26.192
Finland,176.6,67.6,2006,62.716,26.192
Finland,145.1,38.5,2002,62.716,26.192
