MajorPorts,Province,Year,Latitude,Longitude,Values
Ambon,Maluku,2015,-3.6941,128.17627,2.8
Amamapare,Papua,2015,-4.82653,136.84068,1832.2
Waingapu,NTT,2014,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2014,5.133333333,119.4,680.4
Tuban,Jawa Timur,2014,-6.786842,111.8976,581.9
Ternate,Maluku Utara,2014,0.78066,127.38809,11.8
Tenau,NTT,2014,-10.1718,123.6075,4.7
Teluk Kasim/Salawati,Papua Barat,2014,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2014,8.733333333,109,569.3
Tanjung Sangata,Kalimantan Timur,2014,0.366666667,117.5666667,2897
Tanjung Priok,DKI Jakarta,2014,-6.10492,106.87615,42599.4
Tanjung Pinang,Kepulauan Riau,2014,0.92914,104.45295,13.2
Tanjung Perak,Jawa Timur,2014,7.216666667,112.7333333,13946.8
Tanjung Emas,Jawa Tengah,2014,6.883333333,110.4,5232.3
Sorong,Papua Barat,2014,-0.87802,131.24612,156.1
Soekarno Hatta 1,DKI Jakarta,2014,5.1225,119.4078,5418.6
Senipah,Kalimantan Timur,2014,0.95,117.1666667,892.2
Sekupang,Kepulauan Riau,2014,1.133333333,103.9166667,2923.8
Samarinda,Kalimantan Timur,2014,-0.50507,117.15071,4698.4
Pulau Sambu,Kepulauan Riau,2014,1.166666667,103.9,227.8
Pontianak,Kalimantan Barat,2014,-0.01847,109.33552,596.5
Pomalaa,Sulawesi Tenggara,2014,-4.23145,121.57935,272.3
Pantoloan,Sulawesi Tengah,2014,-0.69477,119.84041,118.6
Panjang,Lampung,2014,5.466666667,105.3166667,3856.7
Pangkalan Susu,Sumatera Utara,2014,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2014,2.984722222,104.8347222,594.4
Palembang (Kertapati),Sumatera Selatan,2014,-2.178201,104.952,136
Pakanbaru/Rumbai,Riau,2014,0.5566,101.4507,0.5
Padang/Teluk Bayur,Sumatera Barat,2014,-8.53394,115.5086,2105.4
Ngurah Rai 1,Bali,2014,-8.75,115.1667,256.4
Musi River/Boom Baru,Sumatera Selatan,2014,2.981111111,104.7816667,2353.4
Merak,Banten,2014,5.95,106,533.2
Mamuju,Sulawesi Barat,2014,-2.66758,118.8942,152
Malili,Sulawesi Selatan,2014,-2.66317,120.98228,1038.3
Lingkas Tarakan,Kalimantan Utara,2014,3.283333333,117.6,809.7
Kupang,NTT,2014,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2014,3.233333333,116.2166667,3884
Kolaka,Sulawesi Tenggara,2014,4.0581,121.5851,6
Kabil/Panau,Kepulauan Riau,2014,1.352016667,104.1581722,2265.6
Hasanuddin 1,Sulawesi Selatan,2014,-5.14,119.4221,17.4
Dumai,Riau,2014,1.6861,101.44849,14020.8
Cirebon,Jawa Barat,2014,-6.70907,108.57073,5.6
Cilacap,Jawa Tengah,2014,-7.74913,109.01491,394.6
Cigading,Banten,2014,6.016666667,105.95,362.6
Bontang,Kalimantan Timur,2014,0.08553,117.48763,9484.6
Blang Lancang (Arun),Aceh,2014,5.233333333,97.1,501.2
Bitung,Sulawesi Utara,2014,1.4389,125.19403,833.2
"Bintuni, Papua",Papua Barat,2014,0.82175,133.586425,3787.3
Bima,NTB,2014,-8.44602,118.71591,307.1
Benoa/Loloan,Bali,2014,-8.74329,115.20943,40
Belawan,Sumatera Utara,2014,3.79246,98.71623,7808.1
Batu Ampar,Kepulauan Riau,2014,1.169719444,104.02,3686.4
Banjarmasin,Kalimantan Selatan,2014,-3.33321,114.5551,4047.2
Balongan,Jawa Barat,2014,6.360561111,108.3902806,316.4
Balikpapan,Kalimantan Timur,2014,-1.25527,116.81594,2933.7
Bade Irian Jaya,Papua,2014,7.1687,139.5937,72.2
Atapupu,NTT,2014,8.9964,124.8617,16.1
Arjuna,Jawa Barat,2014,7.816666667,112.5666667,529.8
Ambon,Maluku,2014,-3.6941,128.17627,111.6
Amamapare,Papua,2014,-4.82653,136.84068,1380.4
Waingapu,NTT,2013,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2013,5.133333333,119.4,605.7
Tuban,Jawa Timur,2013,-6.786842,111.8976,111.7
Ternate,Maluku Utara,2013,0.78066,127.38809,569.9
Tenau,NTT,2013,-10.1718,123.6075,10.9
Teluk Kasim/Salawati,Papua Barat,2013,1.3,131.0166667,41.4
Tanjung Santan,Kalimantan Timur,2013,8.733333333,109,1107.9
Tanjung Sangata,Kalimantan Timur,2013,0.366666667,117.5666667,3878.2
Tanjung Priok,DKI Jakarta,2013,-6.10492,106.87615,41708.5
Tanjung Pinang,Kepulauan Riau,2013,0.92914,104.45295,149.2
Tanjung Perak,Jawa Timur,2013,7.216666667,112.7333333,12649.8
Tanjung Emas,Jawa Tengah,2013,6.883333333,110.4,4697.3
Sorong,Papua Barat,2013,-0.87802,131.24612,203.2
Soekarno Hatta 1,DKI Jakarta,2013,5.1225,119.4078,5580.1
Senipah,Kalimantan Timur,2013,0.95,117.1666667,1123
Sekupang,Kepulauan Riau,2013,1.133333333,103.9166667,2931.1
Samarinda,Kalimantan Timur,2013,-0.50507,117.15071,5366.9
Pulau Sambu,Kepulauan Riau,2013,1.166666667,103.9,2404.9
Pontianak,Kalimantan Barat,2013,-0.01847,109.33552,893.5
Pomalaa,Sulawesi Tenggara,2013,-4.23145,121.57935,307.4
Pantoloan,Sulawesi Tengah,2013,-0.69477,119.84041,38.8
Panjang,Lampung,2013,5.466666667,105.3166667,3892.3
Pangkalan Susu,Sumatera Utara,2013,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2013,2.984722222,104.8347222,845.4
Palembang (Kertapati),Sumatera Selatan,2013,-2.178201,104.952,90.9
Pakanbaru/Rumbai,Riau,2013,0.5566,101.4507,2.1
Padang/Teluk Bayur,Sumatera Barat,2013,-8.53394,115.5086,2208.6
Ngurah Rai 1,Bali,2013,-8.75,115.1667,277.3
Musi River/Boom Baru,Sumatera Selatan,2013,2.981111111,104.7816667,2979.3
Merak,Banten,2013,5.95,106,825.2
Mamuju,Sulawesi Barat,2013,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2013,-2.66317,120.98228,924
Lingkas Tarakan,Kalimantan Utara,2013,3.283333333,117.6,835.6
Kupang,NTT,2013,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2013,3.233333333,116.2166667,4162.8
Kolaka,Sulawesi Tenggara,2013,4.0581,121.5851,101.8
Kabil/Panau,Kepulauan Riau,2013,1.352016667,104.1581722,2096.7
Hasanuddin 1,Sulawesi Selatan,2013,-5.14,119.4221,21.2
Dumai,Riau,2013,1.6861,101.44849,14195.7
Cirebon,Jawa Barat,2013,-6.70907,108.57073,17.1
Cilacap,Jawa Tengah,2013,-7.74913,109.01491,622.4
Cigading,Banten,2013,6.016666667,105.95,103.2
Bontang,Kalimantan Timur,2013,0.08553,117.48763,11566.6
Blang Lancang (Arun),Aceh,2013,5.233333333,97.1,930.4
Bitung,Sulawesi Utara,2013,1.4389,125.19403,665.4
"Bintuni, Papua",Papua Barat,2013,0.82175,133.586425,3198.6
Bima,NTB,2013,-8.44602,118.71591,399.9
Benoa/Loloan,Bali,2013,-8.74329,115.20943,49.3
Belawan,Sumatera Utara,2013,3.79246,98.71623,7982.3
Batu Ampar,Kepulauan Riau,2013,1.169719444,104.02,4036.8
Banjarmasin,Kalimantan Selatan,2013,-3.33321,114.5551,4318.9
Balongan,Jawa Barat,2013,6.360561111,108.3902806,425.6
Balikpapan,Kalimantan Timur,2013,-1.25527,116.81594,3066.9
Bade Irian Jaya,Papua,2013,7.1687,139.5937,63.3
Atapupu,NTT,2013,8.9964,124.8617,9
Arjuna,Jawa Barat,2013,7.816666667,112.5666667,0
Ambon,Maluku,2013,-3.6941,128.17627,134.3
Amamapare,Papua,2013,-4.82653,136.84068,2609.3
Waingapu,NTT,2012,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2012,5.133333333,119.4,547.9
Tuban,Jawa Timur,2012,-6.786842,111.8976,328.8
Ternate,Maluku Utara,2012,0.78066,127.38809,368.9
Tenau,NTT,2012,-10.1718,123.6075,36.6
Teluk Kasim/Salawati,Papua Barat,2012,1.3,131.0166667,14
Tanjung Santan,Kalimantan Timur,2012,8.733333333,109,1307.7
Tanjung Sangata,Kalimantan Timur,2012,0.366666667,117.5666667,3134.5
Tanjung Priok,DKI Jakarta,2012,-6.10492,106.87615,42697.3
Tanjung Pinang,Kepulauan Riau,2012,0.92914,104.45295,79.4
Tanjung Perak,Jawa Timur,2012,7.216666667,112.7333333,13228.4
Tanjung Emas,Jawa Tengah,2012,6.883333333,110.4,4423.9
Sorong,Papua Barat,2012,-0.87802,131.24612,222.4
Soekarno Hatta 1,DKI Jakarta,2012,5.1225,119.4078,5320.9
Senipah,Kalimantan Timur,2012,0.95,117.1666667,1013
Sekupang,Kepulauan Riau,2012,1.133333333,103.9166667,2660.6
Samarinda,Kalimantan Timur,2012,-0.50507,117.15071,6025.8
Pulau Sambu,Kepulauan Riau,2012,1.166666667,103.9,2119.4
Pontianak,Kalimantan Barat,2012,-0.01847,109.33552,964.1
