MajorPorts,Province,Year,Latitude,Longitude,Values
Balongan,Jawa Barat,2016,6.360561111,108.3902806,495.4
Balikpapan,Kalimantan Timur,2016,-1.25527,116.81594,14192.9
Bade Irian Jaya,Papua,2016,7.1687,139.5937,55.6
Atapupu,NTT,2016,8.9964,124.8617,86.1
Arjuna,Jawa Barat,2016,7.816666667,112.5666667,330
Ambon,Maluku,2016,-3.6941,128.17627,1
Amamapare,Papua,2016,-4.82653,136.84068,1114.4
Waingapu,NTT,2015,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2015,5.133333333,119.4,540.9
Tuban,Jawa Timur,2015,-6.786842,111.8976,953.2
Ternate,Maluku Utara,2015,0.78066,127.38809,0
Tenau,NTT,2015,-10.1718,123.6075,9.2
Teluk Kasim/Salawati,Papua Barat,2015,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2015,8.733333333,109,0
Tanjung Sangata,Kalimantan Timur,2015,0.366666667,117.5666667,791.9
Tanjung Priok,DKI Jakarta,2015,-6.10492,106.87615,12668.6
Tanjung Pinang,Kepulauan Riau,2015,0.92914,104.45295,3
Tanjung Perak,Jawa Timur,2015,7.216666667,112.7333333,7554.5
Tanjung Emas,Jawa Tengah,2015,6.883333333,110.4,2406.2
Sorong,Papua Barat,2015,-0.87802,131.24612,186.5
Soekarno Hatta 1,DKI Jakarta,2015,5.1225,119.4078,121.2
Senipah,Kalimantan Timur,2015,0.95,117.1666667,1094.8
Sekupang,Kepulauan Riau,2015,1.133333333,103.9166667,351
Samarinda,Kalimantan Timur,2015,-0.50507,117.15071,78798.3
Pulau Sambu,Kepulauan Riau,2015,1.166666667,103.9,7
Pontianak,Kalimantan Barat,2015,-0.01847,109.33552,553.3
Pomalaa,Sulawesi Tenggara,2015,-4.23145,121.57935,43.7
Pantoloan,Sulawesi Tengah,2015,-0.69477,119.84041,592
Panjang,Lampung,2015,5.466666667,105.3166667,3044.8
Pangkalan Susu,Sumatera Utara,2015,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2015,2.984722222,104.8347222,810.5
Palembang (Kertapati),Sumatera Selatan,2015,-2.178201,104.952,3744.4
Pakanbaru/Rumbai,Riau,2015,0.5566,101.4507,7.3
Padang/Teluk Bayur,Sumatera Barat,2015,-8.53394,115.5086,3743.2
Ngurah Rai 1,Bali,2015,-8.75,115.1667,13.4
Musi River/Boom Baru,Sumatera Selatan,2015,2.981111111,104.7816667,3423.2
Merak,Banten,2015,5.95,106,568
Mamuju,Sulawesi Barat,2015,-2.66758,118.8942,0
Malili,Sulawesi Selatan,2015,-2.66317,120.98228,0
Lingkas Tarakan,Kalimantan Timur,2015,3.283333333,117.6,16041
Kupang,NTT,2015,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2015,3.233333333,116.2166667,6006
Kolaka,Sulawesi Tenggara,2015,4.0581,121.5851,0
Kabil/Panau,Kepulauan Riau,2015,1.352016667,104.1581722,2251.4
Hasanuddin 1,Sulawesi Selatan,2015,-5.14,119.4221,5.2
Dumai,Riau,2015,1.6861,101.44849,22256.8
Cirebon,Jawa Barat,2015,-6.70907,108.57073,0
Cilacap,Jawa Tengah,2015,-7.74913,109.01491,732.4
Cigading,Banten,2015,6.016666667,105.95,853.2
Bontang,Kalimantan Timur,2015,0.08553,117.48763,26866.2
Blang Lancang (Arun),Aceh,2015,5.233333333,97.1,83.8
"Bituni, Papua",Papua Barat,2015,,,6608.6
Bitung,Sulawesi Utara,2015,1.4389,125.19403,892
Bima,NTB,2015,-8.44602,118.71591,0
Benoa/Loloan,Bali,2015,-8.74329,115.20943,0.6
Belawan,Sumatera Utara,2015,3.79246,98.71623,7210.1
Batu Ampar,Kepulauan Riau,2015,1.169719444,104.02,628.8
Banjarmasin,Kalimantan Selatan,2015,-3.33321,114.5551,70514.4
Balongan,Jawa Barat,2015,6.360561111,108.3902806,577.4
Balikpapan,Kalimantan Timur,2015,-1.25527,116.81594,14724.9
Bade Irian Jaya,Papua,2015,7.1687,139.5937,74
Atapupu,NTT,2015,8.9964,124.8617,76
Arjuna,Jawa Barat,2015,7.816666667,112.5666667,469.9
Ambon,Maluku,2015,-3.6941,128.17627,2.2
Amamapare,Papua,2015,-4.82653,136.84068,1015.3
Waingapu,NTT,2014,-9.63969,120.25055,0
Ujung Pandang,Sulawesi Selatan,2014,5.133333333,119.4,544
Tuban,Jawa Timur,2014,-6.786842,111.8976,515.2
Ternate,Maluku Utara,2014,0.78066,127.38809,398.2
Tenau,NTT,2014,-10.1718,123.6075,5.8
Teluk Kasim/Salawati,Papua Barat,2014,1.3,131.0166667,0
Tanjung Santan,Kalimantan Timur,2014,8.733333333,109,657.1
Tanjung Sangata,Kalimantan Timur,2014,0.366666667,117.5666667,44506.4
Tanjung Priok,DKI Jakarta,2014,-6.10492,106.87615,12578.4
Tanjung Pinang,Kepulauan Riau,2014,0.92914,104.45295,146.8
Tanjung Perak,Jawa Timur,2014,7.216666667,112.7333333,7882.3
Tanjung Emas,Jawa Tengah,2014,6.883333333,110.4,2384.4
Sorong,Papua Barat,2014,-0.87802,131.24612,314.6
Soekarno Hatta 1,DKI Jakarta,2014,5.1225,119.4078,125.9
Senipah,Kalimantan Timur,2014,0.95,117.1666667,1137
Sekupang,Kepulauan Riau,2014,1.133333333,103.9166667,351.3
Samarinda,Kalimantan Timur,2014,-0.50507,117.15071,83295.8
Pulau Sambu,Kepulauan Riau,2014,1.166666667,103.9,251.3
Pontianak,Kalimantan Barat,2014,-0.01847,109.33552,719.4
Pomalaa,Sulawesi Tenggara,2014,-4.23145,121.57935,76.8
Pantoloan,Sulawesi Tengah,2014,-0.69477,119.84041,169.5
Panjang,Lampung,2014,5.466666667,105.3166667,9488.8
Pangkalan Susu,Sumatera Utara,2014,4.116666667,98.21666667,0
Palembang0Plaju,Sumatera Selatan,2014,2.984722222,104.8347222,909.5
Palembang (Kertapati),Sumatera Selatan,2014,-2.178201,104.952,2186.6
Pakanbaru/Rumbai,Riau,2014,0.5566,101.4507,6.8
Padang/Teluk Bayur,Sumatera Barat,2014,-8.53394,115.5086,3993.6
Ngurah Rai 1,Bali,2014,-8.75,115.1667,15.4
Musi River/Boom Baru,Sumatera Selatan,2014,2.981111111,104.7816667,4729.8
Merak,Banten,2014,5.95,106,756.4
Mamuju,Sulawesi Barat,2014,-2.66758,118.8942,192.8
Malili,Sulawesi Selatan,2014,-2.66317,120.98228,99.4
Lingkas Tarakan,Kalimantan Timur,2014,3.283333333,117.6,11681.4
Kupang,NTT,2014,-10.15375,123.59051,0
Kotabaru,Kalimantan Selatan,2014,3.233333333,116.2166667,69341.5
Kolaka,Sulawesi Tenggara,2014,4.0581,121.5851,326.3
Kabil/Panau,Kepulauan Riau,2014,1.352016667,104.1581722,1895.9
Hasanuddin 1,Sulawesi Selatan,2014,-5.14,119.4221,5.2
Dumai,Riau,2014,1.6861,101.44849,19366.9
Cirebon,Jawa Barat,2014,-6.70907,108.57073,0.9
Cilacap,Jawa Tengah,2014,-7.74913,109.01491,897.4
Cigading,Banten,2014,6.016666667,105.95,862
Bontang,Kalimantan Timur,2014,0.08553,117.48763,27720.9
Blang Lancang (Arun),Aceh,2014,5.233333333,97.1,608.5
"Bituni, Papua",Papua Barat,2014,,,7172
Bitung,Sulawesi Utara,2014,1.4389,125.19403,878.2
