Language,ID
Hindi,976
English,976
English,977
Spanish,977
English,978
English,979
Hindi,980
English,981
English,982
Italian,982
English,983
Hindi,984
English,984
Hindi,985
Marathi,985
English,985
English,986
English,987
Hindi,988
English,989
English,990
English,991
English,993
English,994
Arabic,994
Filipino,995
Tagalog,995
English,996
English,997
English,998
English,999
English,1000
French,1001
English,1001
Italian,1001
English,1002
English,1003
Hebrew,1004
English,1004
Arabic,1004
Russian,1004
English,1005
Japanese,1005
English,1006
English,1007
Spanish,1007
English,1008
Japanese,1008
English,1009
Chinese,1009
Spanish,1009
French,1009
Ukrainian,1009
Spanish,1010
English,1011
Turkish,1012
French,1012
English,1013
Russian,1013
Serbian,1013
Bosnian,1013
Croatian,1013
Polish,1013
Spanish,1014
English,1015
English,1016
Japanese,1017
English,1018
English,1019
English,1020
Spanish,1020
English,1021
Spanish,1021
Turkish,1022
English,1023
English,1024
Spanish,1025
English,1025
English,1026
English,1027
English,1028
Japanese,1029
Mandarin,1030
English,1031
English,1032
English,1033
English,1034
English,1035
English,1036
English,1038
English,1039
English,1040
Japanese,1041
English,1041
English,1042
English,1043
English,1044
English,1045
English,1046
English,1047
English,1048
English,1049
Cantonese,1050
Mandarin,1050
Hindi,1051
English,1052
Chinese,1052
English,1053
German,1053
French,1053
Arabic,1053
English,1054
English,1055
English,1056
English,1057
French,1057
English,1058
French,1058
Spanish,1058
English,1059
English,1060
Spanish,1060
Hindi,1061
English,1062
Filipino,1063
Tagalog,1063
English,1064
English,1065
English,1066
Hindi,1067
English,1068
Serbo-Croatian,1068
Russian,1068
Hindi,1069
Mandarin,1070
English,1070
English,1071
English,1072
English,1073
English,1074
Hindi,1075
English,1076
English,1077
English,1078
English,1079
Spanish,1079
French,1079
English,1080
Japanese,1081
Japanese,1082
Filipino,1083
Tagalog,1083
Japanese,1084
English,1085
German,1086
Urdu,1087
Turkish,1088
English,1088
Hindi,1089
English,1089
English,1090
English,1091
English,1092
English,1093
Turkish,1093
Spanish,1094
English,1094
Hindi,1095
Hindi,1096
English,1097
English,1098
Japanese,1099
French,1100
English,1101
English,1102
English,1103
English,1104
Flemish,1105
Dutch,1105
Hindi,1106
English,1106
Slovenian,1107
Serbian,1107
Croatian,1107
English,1107
English,1108
Thai,1109
Telugu,1110
Malayalam,1110
Dutch,1111
English,1112
English,1113
English,1114
English,1115
Hindi,1116
German,1116
Italian,1116
Marathi,1117
English,1118
Spanish,1119
Spanish,1120
English,1121
English,1122
Indonesian,1123
German,1123
English,1124
Spanish,1124
English,1125
English,1126
English,1127
English,1128
English,1129
English,1130
English,1131
Spanish,1131
Hindi,1132
English,1133
Japanese,1134
Hindi,1135
Awadhi,1135
English,1136
English,1137
German,1138
Yiddish,1138
Hebrew,1138
English,1139
English,1140
Swedish,1140
English,1141
English,1142
English,1143
English,1144
English,1145
Aramaic,1145
English,1146
English,1147
Spanish,1148
English,1148
Spanish,1149
English,1149
Basque,1149
English,1150
German,1151
Arabic,1152
French,1152
English,1152
English,1153
English,1154
English,1155
Punjabi,1156
English,1157
English,1158
English,1159
English,1160
English,1161
English,1162
Mandarin,1163
Icelandic,1164
English,1164
English,1165
English,1166
English,1167
Filipino,1168
Tagalog,1168
English,1169
Hindi,1170
English,1171
English,1172
English,1173
Japanese,1174
Tamil,1175
English,1176
English,1177
English,1178
German,1178
English,1179
Arabic,1179
Pushto,1179
English,1180
English,1181
Chinese,1181
Khmer,1181
English,1182
English,1183
Cantonese,1183
Mandarin,1183
Portuguese,1183
English,1184
English,1185
Hindi,1186
English,1187
Catalan,1187
Spanish,1187
Hindi,1188
English,1189
English,1190
German,1191
English,1191
Mandarin,1192
English,1192
Mongolian,1192
English,1193
English,1194
Japanese,1196
English,1196
English,1197
Japanese,1198
Hindi,1200
English,1202
Spanish,1203
English,1203
English,1204
English,1205
Hindi,1206
English,1206
English,1207
English,1208
English,1209
Latin,1209
English,1210
English,1211
Armenian,1211
English,1212
French,1213
English,1214
English,1215
English,1216
Hindi,1217
English,1218
Hindi,1219
English,1219
English,1220
Afrikaans,1220
Japanese,1221
English,1222
Hindi,1223
Spanish,1224
English,1224
English,1225
English,1226
English,1227
English,1228
English,1229
French,1230
Arabic,1230
English,1231
Tamil,1232
Hindi,1233
English,1234
English,1235
English,1236
American Sign Language,1237
English,1237
English,1238
Turkish,1239
English,1239
English,1240
English,1241
English,1242
English,1243
Indonesian,1244
English,1244
English,1245
English,1246
English,1247
Italian,1247
French,1247
Danish,1247
English,1248
English,1249
English,1250
French,1251
Italian,1251
Hungarian,1251
Spanish,1252
French,1252
Afrikaans,1252
Japanese,1253
English,1254
Spanish,1254
English,1255
English,1256
French,1256
English,1257
English,1258
English,1259
Turkish,1260
Spanish,1261
Hindi,1262
Hebrew,1263
Japanese,1264
Indonesian,1265
Hindi,1266
Marathi,1266
Bengali,1266
English,1266
Portuguese,1266
Hindi,1267
English,1268
English,1269
English,1270
Hindi,1271
English,1271
English,1272
English,1273
Japanese,1274
Japanese,1275
English,1276
English,1277
English,1278
English,1279
English,1280
Hindi,1281
Marathi,1281
English,1281
English,1282
English,1283
Korean,1284
English,1285
Malayalam,1286
English,1287
English,1288
Hindi,1289
English,1290
Swedish,1290
French,1290
Vietnamese,1290
Russian,1290
Hebrew,1290
English,1291
Hindi,1292
English,1292
Turkish,1294
English,1295
English,1296
Japanese,1297
Spanish,1298
English,1299
Spanish,1299
Flemish,1300
Dutch,1300
English,1301
English,1302
English,1303
Hindi,1304
Hindi,1305
English,1307
English,1308
Indonesian,1309
English,1310
Japanese,1311
Punjabi,1312
English,1313
French,1314
English,1315
English,1316
Hindi,1317
English,1318
Spanish,1319
Polish,1319
English,1320
English,1321
English,1322
English,1323
English,1324
Japanese,1325
English,1326
Hindi,1327
English,1328
Spanish,1329
English,1330
Spanish,1330
English,1332
English,1333
English,1334
German,1335
French,1335
Swedish,1335
English,1335
English,1336
English,1337
English,1338
English,1339
English,1340
English,1341
English,1342
English,1343
Japanese,1344
Hindi,1346
English,1347
Spanish,1347
Italian,1347
French,1347
Filipino,1348
Tagalog,1348
English,1349
English,1350
English,1351
English,1352
English,1353
Arabic,1353
English,1354
Bengali,1355
English,1355
Mandarin,1355
French,1356
Tamil,1357
Malayalam,1357
Hindi,1358
English,1359
English,1360
English,1361
Hindi,1362
English,1363
English,1364
English,1365
German,1365
English,1366
English,1367
English,1368
English,1369
English,1370
Tagalog,1371
Filipino,1371
Hindi,1372
English,1373
Khmer,1374
English,1374
French,1374
English,1375
Spanish,1376
English,1377
Filipino,1378
Tagalog,1378
English,1379
French,1380
English,1380
German,1380
Nepali,1380
English,1381
Spanish,1382
English,1382
English,1383
Japanese,1384
English,1386
English,1387
Ukrainian,1387
Russian,1387
English,1388
English,1389
Japanese,1389
English,1390
English,1391
French,1392
Lingala,1392
French,1393
German,1394
English,1395
English,1396
French,1396
Spanish,1397
English,1397
Hindi,1398
Hindi,1399
English,1400
English,1401
Mandarin,1402
English,1403
Turkish,1404
French,1405
English,1406
Thai,1407
Indonesian,1408
English,1409
Polish,1410
German,1410
English,1411
Spanish,1412
English,1413
Hindi,1414
English,1415
Spanish,1415
English,1416
German,1416
French,1416
Japanese,1417
English,1418
English,1419
English,1420
English,1421
English,1422
Hindi,1423
English,1424
Spanish,1425
English,1425
English,1426
English,1427
English,1428
Russian,1428
Hindi,1429
Hindi,1430
Spanish,1431
English,1432
German,1432
Hindi,1433
Polish,1434
Hindi,1435
Arabic,1436
English,1437
Portuguese,1438
Hindi,1439
English,1440
English,1441
English,1442
English,1443
Spanish,1443
English,1444
English,1445
English,1446
English,1447
Russian,1447
English,1448
English,1449
German,1449
Spanish,1449
English,1450
Hindi,1451
English,1452
English,1453
Japanese,1454
English,1455
English,1456
Japanese,1456
English,1457
Mohawk,1457
French,1457
Japanese,1458
Romanian,1459
English,1459
Hindi,1460
English,1461
English,1462
French,1462
Russian,1462
Italian,1463
Hindi,1464
Filipino,1465
Tagalog,1465
Spanish,1465
German,1466
Filipino,1467
Tagalog,1467
English,1467
English,1468
English,1470
French,1471
English,1472
Spanish,1472
English,1473
French,1473
Ukrainian,1473
Korean,1474
Spanish,1475
Hindi,1476
Punjabi,1476
English,1476
English,1477
English,1478
English,1479
English,1480
English,1481
English,1482
English,1483
English,1484
Hindi,1485
English,1486
