week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
2021-12-12,Films (Non-English),4,Anonymously Yours,,8970000,1
2021-12-12,Films (Non-English),5,Sooryavanshi,,8840000,2
2021-12-12,Films (Non-English),6,Green Snake,,6920000,2
2021-12-12,Films (Non-English),7,More the Merrier,,6010000,2
2021-12-12,Films (Non-English),8,Bordertown: Mural Murders,,5560000,2
2021-12-12,Films (Non-English),9,Two,,5020000,1
2021-12-12,Films (Non-English),10,The Claus Family,,2610000,6
2021-12-12,TV (English),1,Lost in Space,Lost in Space: Season 3,35820000,2
2021-12-12,TV (English),2,Titans,Titans: Season 3,26000000,1
2021-12-12,TV (English),3,Lost in Space,Lost in Space: Season 1,23200000,2
2021-12-12,TV (English),4,Jurassic World Camp Cretaceous,Jurassic World Camp Cretaceous: Season 4,17420000,2
2021-12-12,TV (English),5,Lost in Space,Lost in Space: Season 2,15240000,1
2021-12-12,TV (English),6,The Witcher,The Witcher: Season 1,14180000,1
2021-12-12,TV (English),7,Arcane,Arcane: Season 1,13470000,5
2021-12-12,TV (English),8,Maid,Maid: Limited Series,12540000,11
2021-12-12,TV (English),9,True Story,True Story: Limited Series,12160000,3
2021-12-12,TV (English),10,Selling Sunset,Selling Sunset: Season 4,11100000,3
2021-12-12,TV (Non-English),1,Money Heist,Money Heist: Part 5,147950000,8
2021-12-12,TV (Non-English),2,The Queen of Flow,The Queen of Flow: Season 2,49990000,4
2021-12-12,TV (Non-English),3,Money Heist,Money Heist: Part 1,19870000,6
2021-12-12,TV (Non-English),4,Squid Game,Squid Game: Season 1,18170000,13
2021-12-12,TV (Non-English),5,The King's Affection,The King's Affection: Season 1,16650000,8
2021-12-12,TV (Non-English),6,The Queen of Flow,The Queen of Flow: Season 1,14520000,4
2021-12-12,TV (Non-English),7,Carinha de Anjo,Carinha de Anjo: Season 1,11230000,10
2021-12-12,TV (Non-English),8,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,9680000,15
2021-12-12,TV (Non-English),9,Hellbound,Hellbound: Season 1,9470000,4
2021-12-12,TV (Non-English),10,Money Heist,Money Heist: Part 2,8170000,3
2021-12-05,Films (English),1,The Power of the Dog,,27200000,1
2021-12-05,Films (English),2,A Castle For Christmas,,25550000,2
2021-12-05,Films (English),3,Red Notice,,25400000,4
2021-12-05,Films (English),4,Bruised,,23370000,2
2021-12-05,Films (English),5,A Boy Called Christmas,,19360000,2
2021-12-05,Films (English),6,Single All The Way,,13820000,1
2021-12-05,Films (English),7,14 Peaks: Nothing Is Impossible,,12170000,1
2021-12-05,Films (English),8,The Christmas Chronicles,,7940000,1
2021-12-05,Films (English),9,The Christmas Chronicles: Part Two,,7790000,1
2021-12-05,Films (English),10,Love Hard,,7240000,5
2021-12-05,Films (Non-English),1,Spoiled Brats,,26730000,2
2021-12-05,Films (Non-English),2,The Whole Truth,,11950000,1
2021-12-05,Films (Non-English),3,Green Snake,,10650000,1
2021-12-05,Films (Non-English),4,More the Merrier,,10320000,1
2021-12-05,Films (Non-English),5,Sooryavanshi,,7110000,1
2021-12-05,Films (Non-English),6,Outlaws,,3200000,2
2021-12-05,Films (Non-English),7,The Claus Family,,2870000,5
2021-12-05,Films (Non-English),8,Just Short of Perfect,,2460000,3
2021-12-05,Films (Non-English),9,Dhamaka,,2350000,3
2021-12-05,Films (Non-English),10,Bordertown: Mural Murders,,2100000,1
2021-12-05,TV (English),1,Lost in Space,Lost in Space: Season 3,47380000,1
2021-12-05,TV (English),2,True Story,True Story: Limited Series,29810000,2
2021-12-05,TV (English),3,Selling Sunset,Selling Sunset: Season 4,23660000,2
2021-12-05,TV (English),4,Lost in Space,Lost in Space: Season 1,20920000,1
2021-12-05,TV (English),5,Arcane,Arcane: Season 1,18180000,4
2021-12-05,TV (English),6,School of Chocolate,School of Chocolate: Season 1,17090000,1
2021-12-05,TV (English),7,Jurassic World Camp Cretaceous,Jurassic World Camp Cretaceous: Season 4,16900000,1
2021-12-05,TV (English),8,Maid,Maid: Limited Series,15800000,10
2021-12-05,TV (English),9,Cowboy Bebop,Cowboy Bebop: Season 1,15260000,3
2021-12-05,TV (English),10,You,You: Season 3,12490000,8
2021-12-05,TV (Non-English),1,Money Heist,Money Heist: Part 5,189920000,7
2021-12-05,TV (Non-English),2,The Queen of Flow,The Queen of Flow: Season 2,59460000,3
2021-12-05,TV (Non-English),3,Hellbound,Hellbound: Season 1,22380000,3
2021-12-05,TV (Non-English),4,Squid Game,Squid Game: Season 1,21200000,12
2021-12-05,TV (Non-English),5,Elves,Elves: Season 1,17940000,2
2021-12-05,TV (Non-English),6,The King's Affection,The King's Affection: Season 1,16360000,7
2021-12-05,TV (Non-English),7,The Queen of Flow,The Queen of Flow: Season 1,14960000,3
2021-12-05,TV (Non-English),8,JoJo's Bizarre Adventure,JoJo's Bizarre Adventure: STONE OCEAN,13980000,1
2021-12-05,TV (Non-English),9,Carinha de Anjo,Carinha de Anjo: Season 1,11720000,9
2021-12-05,TV (Non-English),10,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,11560000,14
2021-11-28,Films (English),1,Red Notice,,50650000,3
2021-11-28,Films (English),2,Bruised,,47700000,1
2021-11-28,Films (English),3,A Boy Called Christmas,,26820000,1
2021-11-28,Films (English),4,A Castle For Christmas,,20870000,1
2021-11-28,Films (English),5,The Princess Switch 3: Romancing the Star,,16250000,2
2021-11-28,Films (English),6,The Croods,,15860000,2
2021-11-28,Films (English),7,Jack Reacher: Never Go Back,,14670000,1
2021-11-28,Films (English),8,Extinct,,13320000,1
2021-11-28,Films (English),9,Central Intelligence,,10520000,2
2021-11-28,Films (English),10,Love Hard,,9780000,4
2021-11-28,Films (Non-English),1,Spoiled Brats,,15830000,1
2021-11-28,Films (Non-English),2,Outlaws,,8730000,1
2021-11-28,Films (Non-English),3,Just Short of Perfect,,8210000,2
2021-11-28,Films (Non-English),4,Love Me Instead,,5880000,2
2021-11-28,Films (Non-English),5,Dhamaka,,4820000,2
2021-11-28,Films (Non-English),6,Earwig and the Witch,,3720000,2
2021-11-28,Films (Non-English),7,Prayers for the Stolen,,2780000,2
2021-11-28,Films (Non-English),8,Yara,,2640000,4
2021-11-28,Films (Non-English),9,The Claus Family,,2500000,4
2021-11-28,Films (Non-English),10,Sinkhole,,2260000,1
2021-11-28,TV (English),1,True Story,True Story: Limited Series,48850000,1
2021-11-28,TV (English),2,Cowboy Bebop,Cowboy Bebop: Season 1,36950000,2
2021-11-28,TV (English),3,Selling Sunset,Selling Sunset: Season 4,33080000,1
2021-11-28,TV (English),4,Arcane,Arcane: Season 1,29660000,3
2021-11-28,TV (English),5,Maid,Maid: Limited Series,20490000,9
2021-11-28,TV (English),6,Narcos: Mexico,Narcos: Mexico: Season 3,17430000,4
2021-11-28,TV (English),7,You,You: Season 3,17070000,7
2021-11-28,TV (English),8,Tiger King,Tiger King 2,16430000,2
2021-11-28,TV (English),9,CoComelon,CoComelon: Season 4,11050000,3
2021-11-28,TV (English),10,Dynasty,Dynasty: Season 4,10560000,6
2021-11-28,TV (Non-English),1,The Queen of Flow,The Queen of Flow: Season 2,69030000,2
2021-11-28,TV (Non-English),2,Hellbound,Hellbound: Season 1,67520000,2
2021-11-28,TV (Non-English),3,Squid Game,Squid Game: Season 1,25730000,11
2021-11-28,TV (Non-English),4,The King's Affection,The King's Affection: Season 1,15920000,6
2021-11-28,TV (Non-English),5,The Queen of Flow,The Queen of Flow: Season 1,14460000,2
2021-11-28,TV (Non-English),6,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,13310000,13
2021-11-28,TV (Non-English),7,Carinha de Anjo,Carinha de Anjo: Season 1,12410000,8
2021-11-28,TV (Non-English),8,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",8130000,7
2021-11-28,TV (Non-English),9,EDENS ZERO,EDENS ZERO: Season 1,7470000,1
2021-11-28,TV (Non-English),10,Elves,Elves: Season 1,6660000,1
2021-11-21,Films (English),1,Red Notice,,129110000,2
2021-11-21,Films (English),2,The Princess Switch 3: Romancing the Star,,24770000,1
2021-11-21,Films (English),3,Love Hard,,21240000,3
2021-11-21,Films (English),4,Central Intelligence,,14910000,1
2021-11-21,Films (English),5,The Harder They Fall,,13770000,3
2021-11-21,Films (English),6,The Croods,,13440000,1
2021-11-21,Films (English),7,Army of Thieves,,12260000,4
2021-11-21,Films (English),8,Trolls,,10120000,1
2021-11-21,Films (English),9,6 Underground,,7770000,1
2021-11-21,Films (English),10,Goosebumps 2: Haunted Halloween,,7680000,1
2021-11-21,Films (Non-English),1,Just Short of Perfect,,9630000,1
2021-11-21,Films (Non-English),2,7 Prisoners,,9570000,2
2021-11-21,Films (Non-English),3,Yara,,5660000,3
2021-11-21,Films (Non-English),4,Prayers for the Stolen,,4700000,1
2021-11-21,Films (Non-English),5,Dhamaka,,4200000,1
2021-11-21,Films (Non-English),6,Love Me Instead,,3000000,1
2021-11-21,Films (Non-English),7,The Claus Family,,2420000,3
2021-11-21,Films (Non-English),8,Earwig and the Witch,,2100000,1
2021-11-21,Films (Non-English),9,The Forgotten Battle,,1940000,6
2021-11-21,Films (Non-English),10,Meenakshi Sundareshwar,,1900000,3
2021-11-21,TV (English),1,Arcane,Arcane: Season 1,38420000,2
2021-11-21,TV (English),2,Tiger King,Tiger King 2,30030000,1
2021-11-21,TV (English),3,Narcos: Mexico,Narcos: Mexico: Season 3,27540000,3
2021-11-21,TV (English),4,Maid,Maid: Limited Series,23920000,8
2021-11-21,TV (English),5,You,You: Season 3,23460000,6
2021-11-21,TV (English),6,Cowboy Bebop,Cowboy Bebop: Season 1,21630000,1
2021-11-21,TV (English),7,Dynasty,Dynasty: Season 4,15060000,5
2021-11-21,TV (English),8,Locke & Key,Locke & Key: Season 2,12340000,5
2021-11-21,TV (English),9,You,You: Season 2,11670000,5
2021-11-21,TV (English),10,Big Mouth,Big Mouth: Season 5,11410000,3
2021-11-21,TV (Non-English),1,Hellbound,Hellbound: Season 1,43480000,1
2021-11-21,TV (Non-English),2,The Queen of Flow,The Queen of Flow: Season 2,38640000,1
2021-11-21,TV (Non-English),3,Squid Game,Squid Game: Season 1,30410000,10
2021-11-21,TV (Non-English),4,The King's Affection,The King's Affection: Season 1,15640000,5
2021-11-21,TV (Non-English),5,Carinha de Anjo,Carinha de Anjo: Season 1,13180000,7
2021-11-21,TV (Non-English),6,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,13150000,12
2021-11-21,TV (Non-English),7,Christmas Flow,Christmas Flow: Season 1,9720000,1
2021-11-21,TV (Non-English),8,The Queen of Flow,The Queen of Flow: Season 1,8810000,1
2021-11-21,TV (Non-English),9,Love Never Lies,Love Never Lies: Season 1,8370000,1
2021-11-21,TV (Non-English),10,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",7800000,6
2021-11-14,Films (English),1,Red Notice,,148720000,1
2021-11-14,Films (English),2,Love Hard,,58560000,2
2021-11-14,Films (English),3,The Harder They Fall,,33060000,2
2021-11-14,Films (English),4,Army of Thieves,,20560000,3
2021-11-14,Films (English),5,Father Christmas Is Back,,13780000,1
2021-11-14,Films (English),6,211,,7900000,1
2021-11-14,Films (English),7,Army of the Dead,,7620000,3
2021-11-14,Films (English),8,Passing,,7490000,1
2021-11-14,Films (English),9,Transformers: The Last Knight,,6920000,2
2021-11-14,Films (English),10,Jumanji: The Next Level,,6760000,1
2021-11-14,Films (Non-English),1,Yara,,17950000,2
2021-11-14,Films (Non-English),2,7 Prisoners,,9690000,1
2021-11-14,Films (Non-English),3,The Claus Family,,4440000,2
2021-11-14,Films (Non-English),4,Meenakshi Sundareshwar,,4410000,2
2021-11-14,Films (Non-English),5,The Forgotten Battle,,2630000,5
2021-11-14,Films (Non-English),6,Stuck Together,,2610000,4
2021-11-14,Films (Non-English),7,Lords of Scam,,2120000,1
2021-11-14,Films (Non-English),8,Fierce,,1800000,1
2021-11-14,Films (Non-English),9,Der Fall Collini,,1590000,2
2021-11-14,Films (Non-English),10,Doctor (Tamil),,1430000,2
2021-11-14,TV (English),1,Narcos: Mexico,Narcos: Mexico: Season 3,50290000,2
2021-11-14,TV (English),2,Arcane,Arcane: Season 1,34170000,1
2021-11-14,TV (English),3,You,You: Season 3,33720000,5
2021-11-14,TV (English),4,Maid,Maid: Limited Series,29480000,7
2021-11-14,TV (English),5,Big Mouth,Big Mouth: Season 5,25390000,2
2021-11-14,TV (English),6,Dynasty,Dynasty: Season 4,21020000,4
2021-11-14,TV (English),7,Locke & Key,Locke & Key: Season 2,18770000,4
2021-11-14,TV (English),8,Narcos: Mexico,Narcos: Mexico: Season 1,15570000,1
2021-11-14,TV (English),9,You,You: Season 2,15520000,4
2021-11-14,TV (English),10,You,You: Season 1,14570000,5
2021-11-14,TV (Non-English),1,Squid Game,Squid Game: Season 1,42790000,9
2021-11-14,TV (Non-English),2,The King's Affection,The King's Affection: Season 1,14120000,4
2021-11-14,TV (Non-English),3,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,13820000,11
2021-11-14,TV (Non-English),4,Carinha de Anjo,Carinha de Anjo: Season 1,13660000,6
2021-11-14,TV (Non-English),5,My Name,My Name: Season 1,10820000,5
2021-11-14,TV (Non-English),6,Where is Marta?,Where is Marta?: Limited Series,8640000,1
2021-11-14,TV (Non-English),7,The Five Juanas,The Five Juanas: Season 1,8490000,6
2021-11-14,TV (Non-English),8,The Club,The Club: Part 1,7860000,1
2021-11-14,TV (Non-English),9,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",7650000,5
2021-11-14,TV (Non-English),10,Demon Slayer: Kimetsu no Yaiba,"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",6060000,2
2021-11-07,Films (English),1,Army of Thieves,,71610000,2
2021-11-07,Films (English),2,The Harder They Fall,,64760000,1
2021-11-07,Films (English),3,Love Hard,,40530000,1
2021-11-07,Films (English),4,Army of the Dead,,16910000,2
2021-11-07,Films (English),5,Transformers: The Last Knight,,13180000,1
2021-11-07,Films (English),6,21 Jump Street,,11690000,1
2021-11-07,Films (English),7,Hypnotic,,11140000,2
2021-11-07,Films (English),8,The Girl in the Spider's Web,,6580000,1
2021-11-07,Films (English),9,Amina,,6110000,1
2021-11-07,Films (English),10,Just Go With It,,5740000,1
2021-11-07,Films (Non-English),1,Yara,,11610000,1
2021-11-07,Films (Non-English),2,The Claus Family,,6760000,1
2021-11-07,Films (Non-English),3,Stuck Together,,5780000,3
2021-11-07,Films (Non-English),4,The Forgotten Battle,,3860000,4
2021-11-07,Films (Non-English),5,Der Fall Collini,,3230000,1
2021-11-07,Films (Non-English),6,Meenakshi Sundareshwar,,2820000,1
2021-11-07,Films (Non-English),7,Nobody Sleeps in the Woods Tonight 2,,2660000,2
2021-11-07,Films (Non-English),8,Monk Comes Down the Mountain,,1590000,1
2021-11-07,Films (Non-English),9,The Trip,,1540000,4
2021-11-07,Films (Non-English),10,Doctor (Tamil),,1530000,1
2021-11-07,TV (English),1,You,You: Season 3,52590000,4
2021-11-07,TV (English),2,Maid,Maid: Limited Series,41290000,6
2021-11-07,TV (English),3,Locke & Key,Locke & Key: Season 2,32250000,3
2021-11-07,TV (English),4,Dynasty,Dynasty: Season 4,32050000,3
2021-11-07,TV (English),5,Narcos: Mexico,Narcos: Mexico: Season 3,28150000,1
2021-11-07,TV (English),6,You,You: Season 2,21660000,3
2021-11-07,TV (English),7,Maya and the Three,Maya and the Three: Limited Series,21470000,2
2021-11-07,TV (English),8,You,You: Season 1,20910000,4
2021-11-07,TV (English),9,Big Mouth,Big Mouth: Season 5,19570000,1
2021-11-07,TV (English),10,Locke & Key,Locke & Key: Season 1,15950000,3
2021-11-07,TV (Non-English),1,Squid Game,Squid Game: Season 1,65000000,8
2021-11-07,TV (Non-English),2,My Name,My Name: Season 1,18430000,4
2021-11-07,TV (Non-English),3,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,16010000,10
2021-11-07,TV (Non-English),4,Carinha de Anjo,Carinha de Anjo: Season 1,14090000,5
2021-11-07,TV (Non-English),5,The Five Juanas,The Five Juanas: Season 1,13000000,5
2021-11-07,TV (Non-English),6,The King's Affection,The King's Affection: Season 1,11990000,3
2021-11-07,TV (Non-English),7,Sintonia,Sintonia: Season 2,11010000,2
2021-11-07,TV (Non-English),8,Luis Miguel - The Series,Luis Miguel - The Series: Season 3,9720000,2
2021-11-07,TV (Non-English),9,Demon Slayer: Kimetsu no Yaiba,"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",7940000,1
2021-11-07,TV (Non-English),10,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",7710000,4
2021-10-31,Films (English),1,Army of Thieves,,49640000,1
2021-10-31,Films (English),2,Hypnotic,,24620000,1
2021-10-31,Films (English),3,Night Teeth,,17010000,2
2021-10-31,Films (English),4,Final Score,,9840000,1
2021-10-31,Films (English),5,King Arthur: Legend of the Sword,,9150000,1
2021-10-31,Films (English),6,Only Mine,,6670000,1
2021-10-31,Films (English),7,Army of the Dead,,5780000,1
2021-10-31,Films (English),8,Bloodshot,,5600000,1
2021-10-31,Films (English),9,A Dog's Journey,,5350000,2
2021-10-31,Films (English),10,Venom,,4190000,4
2021-10-31,Films (Non-English),1,Stuck Together,,12000000,2
2021-10-31,Films (Non-English),2,The Forgotten Battle,,8410000,3
2021-10-31,Films (Non-English),3,Nobody Sleeps in the Woods Tonight 2,,6560000,1
2021-10-31,Films (Non-English),4,In for a Murder,,4790000,2
2021-10-31,Films (Non-English),5,The Trip,,3310000,3
2021-10-31,Films (Non-English),6,Nobody Sleeps in the Woods Tonight,,1900000,1
2021-10-31,Films (Non-English),7,Friendzone,,1410000,5
2021-10-31,Films (Non-English),8,The Four of Us,,1190000,2
2021-10-31,Films (Non-English),9,Budapest,,1170000,1
2021-10-31,Films (Non-English),10,Grudge,,1110000,4
2021-10-31,TV (English),1,You,You: Season 3,82790000,3
2021-10-31,TV (English),2,Maid,Maid: Limited Series,56700000,5
2021-10-31,TV (English),3,Locke & Key,Locke & Key: Season 2,56490000,2
2021-10-31,TV (English),4,Dynasty,Dynasty: Season 4,47820000,2
2021-10-31,TV (English),5,Maya and the Three,Maya and the Three: Limited Series,34000000,1
2021-10-31,TV (English),6,You,You: Season 1,29880000,3
2021-10-31,TV (English),7,You,You: Season 2,28050000,2
2021-10-31,TV (English),8,Locke & Key,Locke & Key: Season 1,24590000,2
2021-10-31,TV (English),9,Inside Job,Inside Job: Part 1,21240000,1
2021-10-31,TV (English),10,CoComelon,CoComelon: Season 4,13710000,2
2021-10-31,TV (Non-English),1,Squid Game,Squid Game: Season 1,90100000,7
2021-10-31,TV (Non-English),2,My Name,My Name: Season 1,38580000,3
2021-10-31,TV (Non-English),3,Sintonia,Sintonia: Season 2,25890000,1
2021-10-31,TV (Non-English),4,The Five Juanas,The Five Juanas: Season 1,19410000,4
2021-10-31,TV (Non-English),5,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,18290000,9
2021-10-31,TV (Non-English),6,Carinha de Anjo,Carinha de Anjo: Season 1,14070000,4
2021-10-31,TV (Non-English),7,Luis Miguel - The Series,Luis Miguel - The Series: Season 3,9990000,1
2021-10-31,TV (Non-English),8,The King's Affection,The King's Affection: Season 1,9740000,2
2021-10-31,TV (Non-English),9,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 1,9130000,3
2021-10-31,TV (Non-English),10,The Chestnut Man,The Chestnut Man: Season 1,8910000,5
2021-10-24,Films (English),1,Night Teeth,,31870000,1
2021-10-24,Films (English),2,Venom,,7900000,3
2021-10-24,Films (English),3,What Happens in Vegas,,7380000,1
2021-10-24,Films (English),4,A Dog's Journey,,5780000,1
2021-10-24,Films (English),5,My Little Pony: A New Generation,,5570000,5
2021-10-24,Films (English),6,Unfaithful,,5350000,1
2021-10-24,Films (English),7,Going in Style,,4520000,2
2021-10-24,Films (English),8,The Guilty,,4400000,4
2021-10-24,Films (English),9,Street Kings,,3440000,1
2021-10-24,Films (English),10,Hotel Transylvania 3: Summer Vacation,,3430000,4
2021-10-24,Films (Non-English),1,The Forgotten Battle,,25800000,2
2021-10-24,Films (Non-English),2,The Trip,,11550000,2
2021-10-24,Films (Non-English),3,Stuck Together,,9000000,1
2021-10-24,Films (Non-English),4,In for a Murder,,6520000,1
2021-10-24,Films (Non-English),5,The Four of Us,,4140000,1
2021-10-24,Films (Non-English),6,"My Brother, My Sister",,2680000,3
2021-10-24,Films (Non-English),7,Grudge,,2240000,3
2021-10-24,Films (Non-English),8,Friendzone,,1910000,4
2021-10-24,Films (Non-English),9,Confessions of an Invisible Girl,,1400000,5
2021-10-24,Films (Non-English),10,Beauty and the Beast,,1150000,4
2021-10-24,TV (English),1,You,You: Season 3,179000000,2
2021-10-24,TV (English),2,Maid,Maid: Limited Series,79040000,4
2021-10-24,TV (English),3,You,You: Season 1,44810000,2
2021-10-24,TV (English),4,Locke & Key,Locke & Key: Season 2,35530000,1
2021-10-24,TV (English),5,You,You: Season 2,33120000,1
2021-10-24,TV (English),6,Dynasty,Dynasty: Season 4,19970000,1
2021-10-24,TV (English),7,Sex Education,Sex Education: Season 3,18380000,6
2021-10-24,TV (English),8,CoComelon,CoComelon: Season 4,15930000,1
2021-10-24,TV (English),9,Another Life,Another Life: Season 2,15760000,1
2021-10-24,TV (English),10,Locke & Key,Locke & Key: Season 1,15710000,1
2021-10-24,TV (Non-English),1,Squid Game,Squid Game: Season 1,147560000,6
2021-10-24,TV (Non-English),2,My Name,My Name: Season 1,84530000,2
2021-10-24,TV (Non-English),3,The Five Juanas,The Five Juanas: Season 1,34600000,3
2021-10-24,TV (Non-English),4,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,31840000,8
2021-10-24,TV (Non-English),5,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 1,16290000,2
2021-10-24,TV (Non-English),6,Carinha de Anjo,Carinha de Anjo: Season 1,13930000,3
2021-10-24,TV (Non-English),7,The Chestnut Man,The Chestnut Man: Season 1,12900000,4
2021-10-24,TV (Non-English),8,Alice in Borderland,Alice in Borderland: Season 1,8700000,5
2021-10-24,TV (Non-English),9,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",7710000,3
2021-10-24,TV (Non-English),10,The King's Affection,The King's Affection: Season 1,6950000,1
2021-10-17,Films (English),1,Venom,,20410000,2
2021-10-17,Films (English),2,The Guilty,,12590000,3
2021-10-17,Films (English),3,Security,,9470000,2
2021-10-17,Films (English),4,My Little Pony: A New Generation,,8220000,4
2021-10-17,Films (English),5,There's Someone Inside Your House,,7380000,2
2021-10-17,Films (English),6,Pokémon the Movie: Secrets of the Jungle,,7300000,2
2021-10-17,Films (English),7,Redemption,,5800000,1
2021-10-17,Films (English),8,Titanic,,5000000,2
2021-10-17,Films (English),9,Going in Style,,4950000,1
2021-10-17,Films (English),10,Knight and Day,,4770000,1
2021-10-17,Films (Non-English),1,The Forgotten Battle,,21460000,1
2021-10-17,Films (Non-English),2,"My Brother, My Sister",,7360000,2
2021-10-17,Films (Non-English),3,Grudge,,6060000,2
2021-10-17,Films (Non-English),4,Fever Dream,,6030000,1
2021-10-17,Films (Non-English),5,The Trip,,3390000,1
2021-10-17,Films (Non-English),6,Friendzone,,3340000,3
2021-10-17,Films (Non-English),7,Confessions of an Invisible Girl,,2120000,4
2021-10-17,Films (Non-English),8,Tudo por um Pop Star,,1870000,1
2021-10-17,Films (Non-English),9,Violet Evergarden the Movie,,1800000,1
2021-10-17,Films (Non-English),10,Beauty and the Beast,,1800000,3
2021-10-17,TV (English),1,You,You: Season 3,133120000,1
2021-10-17,TV (English),2,Maid,Maid: Limited Series,129280000,3
2021-10-17,TV (English),3,Sex Education,Sex Education: Season 3,28190000,5
2021-10-17,TV (English),4,Shameless (U.S.),Shameless (U.S.): Season 11,23530000,1
2021-10-17,TV (English),5,You,You: Season 1,23050000,1
2021-10-17,TV (English),6,Midnight Mass,Midnight Mass: Limited Series,20940000,4
2021-10-17,TV (English),7,A Tale Dark & Grimm,A Tale Dark & Grimm: Season 1,18730000,1
2021-10-17,TV (English),8,On My Block,On My Block: Season 4,17360000,2
2021-10-17,TV (English),9,The Baby-Sitters Club,The Baby-Sitters Club: Season 2,17030000,1
2021-10-17,TV (English),10,Grey's Anatomy,Grey's Anatomy: Season 17,15990000,3
2021-10-17,TV (Non-English),1,Squid Game,Squid Game: Season 1,258840000,5
2021-10-17,TV (Non-English),2,The Five Juanas,The Five Juanas: Season 1,62890000,2
2021-10-17,TV (Non-English),3,My Name,My Name: Season 1,41780000,1
2021-10-17,TV (Non-English),4,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha: Season 1,37740000,7
2021-10-17,TV (Non-English),5,The Chestnut Man,The Chestnut Man: Season 1,20720000,3
2021-10-17,TV (Non-English),6,Alice in Borderland,Alice in Borderland: Season 1,16310000,4
2021-10-17,TV (Non-English),7,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 1,13770000,1
2021-10-17,TV (Non-English),8,Carinha de Anjo,Carinha de Anjo: Season 1,12760000,2
2021-10-17,TV (Non-English),9,"Nevertheless,","Nevertheless,: Season 1",10080000,7
2021-10-17,TV (Non-English),10,House of Secrets: The Burari Deaths,House of Secrets: The Burari Deaths: Limited Series,9220000,1
2021-10-10,Films (English),1,The Guilty,,42280000,2
2021-10-10,Films (English),2,There's Someone Inside Your House,,20480000,1
2021-10-10,Films (English),3,Venom,,13920000,1
2021-10-10,Films (English),4,My Little Pony: A New Generation,,13370000,3
2021-10-10,Films (English),5,Titanic,,10270000,1
2021-10-10,Films (English),6,Ride Along 2,,8030000,1
2021-10-10,Films (English),7,Heat,,7650000,1
2021-10-10,Films (English),8,Pokémon the Movie: Secrets of the Jungle,,7520000,1
2021-10-10,Films (English),9,Mr. & Mrs. Smith,,7180000,1
2021-10-10,Films (English),10,Security,,6830000,1
2021-10-10,Films (Non-English),1,Friendzone,,7210000,2
2021-10-10,Films (Non-English),2,The Seven Deadly Sins: Cursed by Light,,4070000,2
2021-10-10,Films (Non-English),3,Sounds Like Love,,3600000,2
2021-10-10,Films (Non-English),4,Confessions of an Invisible Girl,,2730000,3
2021-10-10,Films (Non-English),5,Forever Rich,,2540000,1
2021-10-10,Films (Non-English),6,Thalaivii,,2110000,2
2021-10-10,Films (Non-English),7,Grudge,,1940000,1
2021-10-10,Films (Non-English),8,Luccas Neto em: O Mapa do Tesouro 2,,1830000,1
2021-10-10,Films (Non-English),9,Beauty and the Beast,,1790000,2
2021-10-10,Films (Non-English),10,"My Brother, My Sister",,1670000,1
2021-10-10,TV (English),1,Maid,Maid: Limited Series,166520000,2
2021-10-10,TV (English),2,On My Block,On My Block: Season 4,63520000,1
2021-10-10,TV (English),3,Sex Education,Sex Education: Season 3,42120000,4
2021-10-10,TV (English),4,Grey's Anatomy,Grey's Anatomy: Season 17,29650000,2
2021-10-10,TV (English),5,Midnight Mass,Midnight Mass: Limited Series,29020000,3
2021-10-10,TV (English),6,PAW Patrol,PAW Patrol: Season 6,19910000,1
2021-10-10,TV (English),7,Lucifer,Lucifer: Season 6,16730000,5
2021-10-10,TV (English),8,Dave Chappelle: The Closer,,14350000,1
2021-10-10,TV (English),9,Sex Education,Sex Education: Season 2,12760000,3
2021-10-10,TV (English),10,Scaredy Cats,Scaredy Cats: Season 1,12520000,1
2021-10-10,TV (Non-English),1,Squid Game,Squid Game: Season 1,412940000,4
2021-10-10,TV (Non-English),2,The Five Juanas,The Five Juanas: Season 1,39460000,1
