director,show_id
Marc-Antoine Hélard,s1250
Milton Kremer,s1251
Kevin Costner,s1252
Marco Petry,s1253
Andrew Duncan,s1254
Ken Cunningham,s1254
Barry Levinson,s1255
Hidenori Inoue,s1256
Liam Lynch,s1257
Jérémie Degruson,s1259
Ben Stassen,s1259
Matt Ross,s1260
Dani de la Orden,s1261
Pablo Larraín,s1262
John Erick Dowdle,s1264
Jesse Peretz,s1265
Ribhu Dasgupta,s1266
Pablo Larraín,s1267
Baran bo Odar,s1268
Rizki Balki,s1270
Shunsuke Kariyama,s1274
Jeferson De,s1277
Troy Miller,s1279
Barry Avrich,s1280
David Tryhorn,s1281
Ben Nicholas,s1281
Tirumala Kishore,s1282
James Wan,s1284
James Wan,s1285
Huang Hsin-Yao,s1287
Chris Weitz,s1289
Saron Sakina,s1290
J Blakeson,s1291
Khalid Rahman,s1292
Luis Ara,s1293
Tharun Bhascker Dhaassyam,s1294
B. V. Nandini Reddy,s1294
Nag Ashwin,s1294
Sankalp Reddy,s1294
Prateek Vats,s1296
Alex Merkin,s1298
Ian Cheney,s1304
Ben Simms,s1305
Vikram Bhatt,s1306
Dallas Jenkins,s1308
Damián Romay,s1310
Hamisha Daryani Ahuja,s1312
Hong Khaou,s1313
Mario Briongos,s1316
Vinay Bharadwaj,s1317
Michael Fimognari,s1319
Eric D. Cabello Díaz,s1320
Clara Martínez-Lázaro,s1323
Monty Tiwa,s1324
Ava DuVernay,s1325
Alain Darborg,s1326
Filip Zylber,s1327
Ava DuVernay,s1328
Joe Berlinger,s1329
Julien Royal,s1330
Brian Baugh,s1331
Todd Phillips,s1334
Henri Wong,s1335
Maïa Sandoz,s1337
Mostofa Sarwar Farooki,s1338
Joseph Hsu,s1341
Sam Levinson,s1342
Jo Sung-hee,s1343
Michèle Ohayon,s1344
Rocco Ricciardulli,s1345
Guo Jingming,s1346
Jan Belcl,s1347
Esteban Crespo,s1348
Noé González,s1352
Dennis Dugan,s1354
Sarah Gavron,s1358
Martin Scorsese,s1359
Roger Donaldson,s1360
Richard Arellano,s1361
Jon Favreau,s1365
Marco Pontecorvo,s1367
Gregory Plotkin,s1368
Lluís Quílez,s1369
Jude Weng,s1370
Simon Stone,s1371
Noviandra Santosa,s1373
Jeremy Grant,s1375
Jeo Baby,s1377
Glendyn Ivin,s1379
Okey Oku,s1380
Ifeanyi Ikpoenyi,s1382
Chris Eneng Enaji,s1383
Ángeles Reiné,s1387
Paul Haggis,s1388
Ramin Bahrani,s1389
Nicol Paone,s1390
Nick Rowland,s1391
RZA,s1392
Cooper Karl,s1394
Gary Fleder,s1397
J.A. Bayona,s1398
Darren Lynn Bousman,s1399
Lydia Dean Pilcher,s1400
Ginny Mohler,s1400
Cris D'Amato,s1404
Mikael Håfström,s1406
Eric Darnell,s1407
Simon J. Smith,s1407
Byeon Hee-sun,s1408
Peter Facinelli,s1410
Renuka Shahane,s1411
Ross Kauffman,s1412
Sung Do-jun,s1413
Hanung Bramantyo,s1414
Charles Gozali,s1415
Bagus Bramanti,s1415
James Toback,s1416
Tiller Russell,s1417
Francisco D'Eufemia,s1418
Chris Rock,s1419
Juliet May,s1420
Stanley Nelson,s1421
Olivier Nakache,s1422
Éric Toledano,s1422
Prakash Jha,s1423
Rohan Sippy,s1424
Ross Venokur,s1425
Prakash Jha,s1427
Rohena Gera,s1429
Maite Ruiz De Austri,s1433
Jastis Arimba,s1434
Eric Summer,s1435
Éric Warin,s1435
Kornél Mundruczó,s1436
Alejandro Ruax,s1437
Ramiro Martínez,s1437
Florent Bodin,s1439
Sohail Khan,s1442
Gabriele Muccino,s1445
Hallvard Bræin,s1446
Jeff Tremaine,s1447
Christian Alvart,s1448
Robert Townsend,s1451
Jeff Deverett,s1452
Ron Krauss,s1453
Brian Robbins,s1454
Jeff Stilson,s1455
Sean Penn,s1457
Mark McQueen,s1459
Melanie Mayron,s1460
Donald Petrie,s1462
Tony Collingwood,s1464
Jennifer Beamish,s1465
Toby Trackman,s1465
Jaume Collet-Serra,s1468
Kim Dong-kyu,s1469
